n,rep,elapsed_s,stage,fn_name
5000,1,4.23690760000011,1-import,read_excel_file_sheets
5000,2,4.08445590000008,1-import,read_excel_file_sheets
5000,3,4.30627930000003,1-import,read_excel_file_sheets
5000,4,3.7855356,1-import,read_excel_file_sheets
5000,5,3.52453440000011,1-import,read_excel_file_sheets
5000,6,3.13043679999998,1-import,read_excel_file_sheets
5000,7,3.08729650000009,1-import,read_excel_file_sheets
10000,1,2.92167040000004,1-import,read_excel_file_sheets
10000,2,2.92605709999998,1-import,read_excel_file_sheets
10000,3,3.10566930000005,1-import,read_excel_file_sheets
10000,4,3.04199840000001,1-import,read_excel_file_sheets
10000,5,3.1064325000001,1-import,read_excel_file_sheets
10000,6,3.16885060000004,1-import,read_excel_file_sheets
10000,7,3.4557863,1-import,read_excel_file_sheets
25000,1,2.93985770000006,1-import,read_excel_file_sheets
25000,2,3.00429270000006,1-import,read_excel_file_sheets
25000,3,2.95548610000003,1-import,read_excel_file_sheets
25000,4,3.48554830000012,1-import,read_excel_file_sheets
25000,5,3.72446609999997,1-import,read_excel_file_sheets
25000,6,2.93242530000009,1-import,read_excel_file_sheets
25000,7,2.77406229999997,1-import,read_excel_file_sheets
50000,1,2.87225339999998,1-import,read_excel_file_sheets
50000,2,2.79604510000013,1-import,read_excel_file_sheets
50000,3,2.79398519999984,1-import,read_excel_file_sheets
50000,4,2.8137279,1-import,read_excel_file_sheets
50000,5,2.67484830000001,1-import,read_excel_file_sheets
50000,6,2.76716809999994,1-import,read_excel_file_sheets
50000,7,2.72535990000006,1-import,read_excel_file_sheets
100000,1,2.78661330000011,1-import,read_excel_file_sheets
100000,2,2.49614780000002,1-import,read_excel_file_sheets
100000,3,2.68527470000004,1-import,read_excel_file_sheets
100000,4,2.84503910000001,1-import,read_excel_file_sheets
100000,5,3.66000529999997,1-import,read_excel_file_sheets
100000,6,3.84648200000004,1-import,read_excel_file_sheets
100000,7,4.0375418000001,1-import,read_excel_file_sheets
5000,1,0.057745299999965,2-post_processing,apply_standardize_rules
5000,2,0.0178978000000143,2-post_processing,apply_standardize_rules
5000,3,0.00851400000010472,2-post_processing,apply_standardize_rules
5000,4,0.00997230000007221,2-post_processing,apply_standardize_rules
5000,5,0.0116340000000719,2-post_processing,apply_standardize_rules
5000,6,0.0122949999999946,2-post_processing,apply_standardize_rules
5000,7,0.0109233000000586,2-post_processing,apply_standardize_rules
10000,1,0.0109805000000733,2-post_processing,apply_standardize_rules
10000,2,0.0105078000000276,2-post_processing,apply_standardize_rules
10000,3,0.0103776000000835,2-post_processing,apply_standardize_rules
10000,4,0.0114903999999569,2-post_processing,apply_standardize_rules
10000,5,0.0129073000000517,2-post_processing,apply_standardize_rules
10000,6,0.01244470000006,2-post_processing,apply_standardize_rules
10000,7,0.0140217000000575,2-post_processing,apply_standardize_rules
25000,1,0.0200176000000738,2-post_processing,apply_standardize_rules
25000,2,0.02118930000006,2-post_processing,apply_standardize_rules
