n,median_s,mean_s,sd_s,min_s,max_s,iqr_s,p95_s,p99_s,cv_s,n_reps,stage,fn_name
5000,2.64058050000006,2.67576497142863,0.130162289735649,2.46499820000008,2.83835860000011,0.16444034999995,2.8230102400001,2.8352889280001,0.0486448888917749,7,1-import,read_excel_file_sheets
10000,2.71540909999999,2.8448171714286,0.266779792179345,2.60092369999995,3.29844690000004,0.35966615000001,3.23540436000005,3.28583839200005,0.0937774823839997,7,1-import,read_excel_file_sheets
25000,2.81784390000007,2.75023798571432,0.148678858009261,2.53911779999999,2.93008280000004,0.201513999999975,2.90952626000004,2.92597149200004,0.0540603608784222,7,1-import,read_excel_file_sheets
50000,2.58454540000002,2.56469280000001,0.0871320713082213,2.45138400000008,2.69358049999994,0.112068850000014,2.66907955999994,2.68868031199994,0.0339736873391703,7,1-import,read_excel_file_sheets
100000,3.15721080000003,3.4356186857143,0.720584015690289,2.60845640000002,4.35145499999999,1.14438830000012,4.33359099,4.34788219799999,0.209739229410574,7,1-import,read_excel_file_sheets
5000,0.00948070000004009,0.0192316142857538,0.0258820208886607,0.00666960000000927,0.0775075000000243,0.00514884999989818,0.059058940000034,0.0738177880000262,1.3458059476491,7,2-post_processing,apply_standardize_rules
10000,0.00910340000007182,0.00977778571430983,0.00141256103047448,0.00810009999997874,0.0115586000000576,0.0022127000000296,0.0115418600000453,0.0115552520000551,0.144466351763794,7,2-post_processing,apply_standardize_rules
25000,0.0164537000000564,0.0172074857142986,0.00243678585676225,0.0151902000000064,0.0224127000001317,0.00120660000010275,0.0210483900001009,0.0221398380001256,0.14161196453805,7,2-post_processing,apply_standardize_rules
50000,0.0324105000000827,0.0338042428571563,0.00897056757432138,0.0255821000000651,0.0527506999999332,0.00443439999997963,0.0473788099999524,0.051676321999937,0.265368096313458,7,2-post_processing,apply_standardize_rules
100000,0.0756830000000264,0.117131342857192,0.0677111558573956,0.0663272000000461,0.244637400000102,0.0681748000001221,0.223437750000096,0.2403974700001,0.578078883121402,7,2-post_processing,apply_standardize_rules
5000,0.0197940000000472,0.0263354428572029,0.013540751749407,0.0184741000000486,0.0549151000000165,0.00721285000003036,0.0482127700000319,0.0535746340000196,0.514164573682252,7,2-post_processing,aggregate_standardized_rows
10000,0.022089899999969,0.0232484428571849,0.00449285280633802,0.0187645000000884,0.0321251000000302,0.00404370000001109,0.0300854300000196,0.0317171660000281,0.193253923883746,7,2-post_processing,aggregate_standardized_rows
25000,0.0363320000000158,0.0369217714285891,0.00702488942202222,0.0308428000000731,0.0512869999998884,0.00572190000002593,0.0476045299999328,0.0505505059998973,0.190264149043042,7,2-post_processing,aggregate_standardized_rows
50000,0.0422813000000133,0.044426914285769,0.0064701637746974,0.0353544000000738,0.0514752999999928,0.0104919000000336,0.0512717200000225,0.0514345839999987,0.14563612798042,7,2-post_processing,aggregate_standardized_rows
100000,0.0496676000001344,0.0661242571429252,0.0435228372045704,0.0452271999999994,0.164297300000044,0.00772615000005317,0.132684260000065,0.157974692000048,0.65819774898185,7,2-post_processing,aggregate_standardized_rows
5000,0.00573350000001938,0.00688298571430681,0.00233108368822165,0.00533719999998539,0.0118978000000425,0.00139039999999113,0.0105682300000467,0.0116318860000433,0.338673329421027,7,2-post_processing,extract_aggregated_rows
10000,0.00758340000004409,0.00795015714288638,0.000782370080485361,0.00723730000004252,0.00942520000000968,0.000827800000024581,0.00914887000000135,0.00936993400000802,0.0984093856793016,7,2-post_processing,extract_aggregated_rows
25000,0.0137230000000272,0.0148363428571819,0.00337137557080728,0.0115787000000864,0.0192445000000134,0.00585310000002437,0.0191391100000033,0.0192234220000114,0.227237642272151,7,2-post_processing,extract_aggregated_rows
50000,0.0341098000001239,0.0342370857143318,0.00357329904310188,0.0289682999999741,0.0397762000000057,0.00375224999999091,0.0387630400000262,0.0395735680000098,0.104369252480099,7,2-post_processing,extract_aggregated_rows
100000,0.0409167000000252,0.0414266428571507,0.0108381743176235,0.0305903999999373,0.0633524999999509,0.00827234999997017,0.0575958599999694,0.0622011719999546,0.261623283233359,7,2-post_processing,extract_aggregated_rows
